시도별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
대구광역시,4013,3606,2243,2207,1791,1823,1774,878,1238,939,900,960,1688,1263,1974,1961,1168,1053,1195,1185,1262,1548,1627,1322,509,378,647,752,990,641
경상북도,402212,487700,438622,441693,302075,310111,315424,242561,274900,230935,219048,219723,253441,271418,276888,304517,292707,240865,251661,309129,292340,372627,367710,338034,315230,338085,277942,309034,330532,244990
