시도별,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
대구광역시,904,805,1536,1971,1756,1982,1971,1330,1794,1341,1268,1231,1351,1027,1381,1868,1204,1170,1615,1378,1617,2345,2009,1620,913,725,1244,946,1312,748
경상북도,1120,1421,1514,1688,1358,1541,1682,1439,1650,1376,1306,1310,1374,1425,1445,1575,1498,1237,1323,1636,1554,1936,1831,1675,1594,1737,1486,1475,1598,1222
